Model,MAE,RMSE,NASA Score
Linear Regression,14.735334144971567,18.063799634038276,530.830797572395
Ridge,16.140396788545196,19.62315156107792,678.0029391634029
Random Forest,10.839288309030744,14.394349303148477,317.8892074786265
Gradient Boosting,10.376349954724713,14.299158479764994,307.20659847529043
Health Index (PCA),85.5491230744891,95.07345203883497,256130557.6931463
LSTM,11.201338939666748,15.206105810094913,384.9728445607102
LSTM_raw,11.196466827392578,14.787182620222183,319.3611265313538
LSTM_sg,10.632053127288819,14.36978056415505,342.1303235123437
CNN_LSTM_raw,13.516468105316163,17.4830774118436,688.5256585416262
CNN_LSTM_sg,11.094424667358398,15.119006472094481,445.47323050318624
CNN-Transformer (MC),10.42370584487915,14.38540778084227,300.99922832404735
